aardvark	oryctérope
abaca	abaca
abacus	abaque
abacus	tailloir
abacus	abaque
abacus	boulier
abandonment	abandon
abatement	réduction
abattoir	abattoir
abbacy	abbatiat
abbess	abbesse
Abbild	reflet
abbot	abbé
ABC	alphabet
abdication	abdication
abdomen	abdomen
Abelian	abélien
Abelian	abélienne
abelian	abélien
abelian	abélienne
abelian	commutatif
abelian	commutative
aberrance	aberrance
aberrant	aberrant
abeyance	suspension
abeyance	vacance
abeyance	vacant
abhorrence	horreur
abigeat	abigéat
Abkhaz	abkhazien
Abkhazian	abkhazien
ablative	ablatif
ablet	ablette
abolition	abolition
aboriginal	indigène
abortion	avortement
abortion	échec
abortion	avortement
abortion	avorton
abscess	abcès
abscissa	abscisse
absence	absence
absinthe	absinthe
absolute	absolu
absorbent	absorbant
absorption	absorption
abstention	abstention
abstract	abstract
abstract	résumé
abstraction	abstraction
abuse	abus
abysm	abîme
abyss	abîme
abyss	gouffre
academic	académique
academic	scolaire
academic	universitaire
acarnanian	Acarnanien
acarnanian	Acarnanienne
acceleration	accélération
accelerator	accélérateur
accent	accent
acceptor	accepteur
access	accès
access	approche
access	entrée
accessory	accessoire
accident	accident
acclimatization	acclimatation
accomplice	complice
accordion	accordéon
accountability	responsabilité
accountancy	comptabilité
accumulation	accumulation
accumulator	accumulateur
accusative	accusatif
accusatory	accusateur
accusatory	accusateuse
ace	as
acerbity	amertume
acetabulum	acétabule
acetal	acétal
acetaldehyde	acétaldéhyde
acetaldehyde	éthanal
acetometer	acétomètre
ache	douleur
achondroplasia	achondroplasie
acid	acide
acidimetry	acidimétrie
acidness	acidité
acorn	gland
acronym	acronyme
act	acte
act	acte
act	action
action	action
act	loi
act	acte
act	édit
acupuncture	acupuncture
acute	aigu
acute	aiguë
adapter	adaptateur
addiction	dépendance
addition	addition
address	adresse
adjective	adjectif
adjunct	complément
adjunct	attribut
adjustment	arèglement
administrator	administrateur
admiration	admiration
adoptee	adopté
adoptee	adoptée
